last pid: 61769;  load averages:  0.49,  0.33,  0.26  up 75+19:28:30    17:21:59
112 processes: 1 running, 111 sleeping
CPU:  0.6% user,  0.0% nice,  0.3% system,  0.0% interrupt, 99.1% idle
Mem: 69M Active, 558M Inact, 166M Laundry, 11G Wired, 224M Buf, 3958M Free
ARC: 7557M Total, 5509M MFU, 1305M MRU, 306K Anon, 109M Header, 633M Other
     6114M Compressed, 13G Uncompressed, 2.23:1 Ratio
Swap: 2048M Total, 23M Used, 2024M Free, 1% Inuse

  PID USERNAME    THR PRI NICE   SIZE    RES STATE    C   TIME    WCPU COMMAND
98203 jchuang       1  20    0    13M  4116K ttyin    0   0:00   0.00% tcsh
70662 twke          1  20    0    13M  3960K ttyin    1   0:00   0.00% tcsh
70199 twke          1  52    0    13M  3828K ttyin    1   0:00   0.00% tcsh
47618 luc           1  52    0    12M  3588K pause    3   0:00   0.00% tcsh
61756 luc           1  52    0    12M  3588K pause    0   0:00   0.00% tcsh
61769 phlai41027    1  20    0    13M  3460K CPU3     3   0:00   0.00% top
13789 changchk07    1  52    0    12M  3364K wait     2   0:00   0.00% sh
50355 changchk07    1  52    0    12M  3364K wait     3   0:00   0.00% sh
72471 changchk07    1  52    0    12M  3364K wait     3   0:00   0.00% sh
50366 changchk07    1  20    0    12M  3164K ttyin    3   0:00   0.00% less
72482 changchk07    1  20    0    12M  3156K ttyin    3   0:00   0.00% less
13800 changchk07    1  20    0    12M  3156K ttyin    0   0:00   0.00% less
  587 root          1  20    0    11M  2504K select   3  17:20   0.00% syslogd
76049 root          1  21    0    11M  2412K ttyin    3   0:00   0.00% getty
  935 root          1  52    0    11M  2372K ttyin    1   0:00   0.00% getty
  936 root          1  52    0    11M  2372K ttyin    2   0:00   0.00% getty
  939 root          1  52    0    11M  2372K ttyin    3   0:00   0.00% getty
  940 root          1  52    0    11M  2372K ttyin    2   0:00   0.00% getty
  941 root          1  52    0    11M  2372K ttyin    0   0:00   0.00% getty
  937 root          1  52    0    11M  2372K ttyin    3   0:00   0.00% getty
  938 root          1  52    0    11M  2372K ttyin    0   0:00   0.00% getty
  505 _pflogd       1  20    0    12M  2276K bpf      2   3:39   0.00% pflogd
  698 root          1  20    0    11M  2276K select   3   0:11   0.00% rpcbind
  746 root          1  20    0   273M  2236K select   3   0:05   0.00% rpc.statd
  711 root          1  20    0    11M  2216K autofs   1   0:07   0.00% automountd
  501 root          1  20    0    12M  2196K sbwait   2   0:00   0.00% pflogd
  717 root          1  20    0    11M  2176K kqread   2   0:15   0.00% autounmountd
  900 root          4  20    0    10M  2136K rpcsvc   3   0:09   0.00% nfscbd
  899 root          1  52    0    10M  2088K accept   3   0:00   0.00% nfscbd
  841 nobody        1  20    0    11M  2024K accept   3   0:00   0.00% psalld
  755 root          1  52    0    17M  1852K rpcsvc   1   0:09   0.00% rpc.lockd
  483 root          1  20    0    10M   696K select   0   5:11   0.00% devd

